type,name,role,target,equipment,description,easier,harder,link
Pull,Pull-Up,primary,back,bar,Hands slightly wider than shoulder-width apart. Use a pronated grip. Focus on the contraction to properly activate your back. Focusing on putting your chest to the bar. Perform the movement in a controlled fashion. Quality over quantity.,"If you're unable to perform a pull-up, jump up and pull your chest to the bar and lower yourself slowly. Alternatively, you can use a resistance band to help pull you up toward the bar.","These may be performed on the rings, and you can add weight to your body.",
Pull,Chin-Up,primary,back,bar,Hands slightly wider than shoulder-width apart. Use a supinated grip (you can use a neutral grip if you have access to monkey bars). Focus on the contraction to properly activate your back. This grip targets the biceps slightly more than the pull-up. Focusing on putting your chest to the bar. Perform the movement in a controlled fashion. Quality over quantity.,"If you're unable to perform a pull-up, jump up and pull your chest to the bar and lower yourself slowly. Alternatively, you can use a resistance band to help pull you up toward the bar.","These may be performed on the rings, and you can add weight to your body.",
Pull,Bent-over Rows,secondary,biceps,kettlebell; resistance band,"This exercise may be carried out with a kettlebell or resistance bands (secured underfoot). Hinge at the hips, knees slightly bent. Keep your back straight and glutes and legs tensed. Pull the weight up to your chest. Focus on moving your elbow backwards. You can use one hand or both. Keep your arms close to your body.",,,
Pull,Rows,secondary,biceps,resistance band; gymnastic rings,"Keep your body straight. Chest out, chin up. Focus on getting your elbows behind your back. On the gymnastic rings, the difficulty of the exercise may be adjusted by changing your body position. Parrallel to the ground is most difficult.",,,
Pull,Curls,secondary,biceps,kettlebell; resistance band; gymnastic rings,"Tensed core, straight back. Chest out, chin up, shoulders back. Keep tension at the bottom of the movement by not extending your elbows 100%. Focus on the movement and the contraction of the bicep to get the most benefit. ",,,
Pull,Pelican Curls,secondary,biceps,gymnastic rings,See link for movement demonstration,,,https://www.youtube.com/watch?v=c5VsOyiARZI&ab_channel=FitnessFAQs
Pull,Ring Cross,secondary,back,gymnastic rings,"This is similar to a ring chest fly, but we are pulling with the back instead of pushing. Leaning backwards, at the starting position you should keep a straight, tensed body and hold the rings in front of you. Contract the back and move the hands outward laterally to bring your body upright. The greater the angle you recline, the more difficutl the exercise. ",,,
Pull,Shoulder External Rotation,secondary,shoulders,resistance band,This is a specialized morement that should be done with very light resistance. See link for movement demonstration,,,https://youtu.be/ssH35JwmwTM?t=196
Pull,Ant. Deltoid Flies,secondary,shoulders,resistance band; kettlebell,"Anchor the resistance bands low. The goal is to lift your arm outward latterally, with the back of your hand facing the sky. Try not to use your traps, and focus on using your shoulder to complete the movement. ",,,
Push,Push-Up,primary,chest,none,"Elbows under shoulders, wrists under elbows. Keep a straight back by tightening the core and glutes. Keep your arms close to your body. Your elbows should not flare out from your body but rather angle backwards. This technique activates the front deltoids and reduces shoulder discomfort. Focus on the movement and achieve full range of motion -- chest to floor and actively press into the earth at the top of the contraction. You shouldn't sink down into your shoulders. One repitition flawlessly executed is better than 10 half-assed push-ups.","To make this exercise easier, set your ego aside and perform them on your knees. Quality over quantity."," To make this exercise harder, try them using the gymnastic rings to increase your range of motion and activate stabilizing muscles (this version is also easier on the joins). Alternatively, you can add weight with harnesses, weighted vests or increase difficulty with resistance bands. ",
Push,Wall Walk,primary,shoulders,none,"Start in the push-up position with your feet at the base of a wall. Walk backwards up the wall until you are in a handstand position, using your legs to balance against the wall. Pause for a moment at the top before descending. Actively press into the floor. Don't sink into your shoulders. At the bottom of the movement, your feet should not leave the wall. Stop when your body is parrallel with the floor. This is one repetition.",If you can't do the wall walk; just hold the handstand for as long as possible; using the wall for balance.,Reduce your reliance on the wall for balance.,
Push,Pike Push-Up,secondary,shoulders,none,"This variation of the push-up primarily targets the shoulders. Starting position is similar to a push-up position, though you should bend at the hips so that your head is between your shoulders and you can maintain a straight back. Take time to find a comfortable position. Consider bending your knees if you can't find a comfortable position while remaining straight from hips to writst. This movement mimics an overhead shoulder press. Lower yourself toward the ground and raise your head as you near the ground, so that you can similate bringing a barbell down to your chest. Go as deep as you can, touching your nose to the floor is possible. While pressing yourself back up into the starting position, focus on keeping a tight core and straight back. At the top of the movement, actively press into the earth. Don't sink into your shoulders.",To make this movement easier; decrease the angle of your body against the floor.,"To increase the difficulty, move the angle of your back with the floor closer to 90 degrees. Alternatively, you can elevate your feet.",
